goos: darwin
goarch: arm64
pkg: github.com/taichimaeda/cel-go/cel
cpu: Apple M4 Max
BenchmarkJit_Jit/rule033-16         	19169074	         6.647 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-16         	18462486	         6.433 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-16         	19215116	         6.350 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-16         	18956719	         6.453 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-16         	18892677	         6.371 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-16         	19028868	         6.486 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-16         	18739628	         6.466 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-16         	18484167	         6.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-16         	18687222	         6.455 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-16         	18615474	         6.420 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-16         	18188246	         6.440 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule034-16         	18865824	         6.500 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule035-16         	12966664	         9.268 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule035-16         	13235536	         9.177 ns/op	       0 B/op	       0 allocs/op
