goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Jit/rule022-18         	17032824	         7.057 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-18         	17785898	         7.115 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-18         	16628593	         7.111 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-18         	17383134	         7.416 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-18         	17226968	         6.958 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-18         	16651168	         7.152 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-18         	15791377	         7.085 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-18         	17013366	         7.016 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-18         	14279870	         7.122 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-18         	15570054	         7.353 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule023-18         	14944548	         6.937 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-18         	12622154	         9.705 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-18         	11536070	         9.424 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-18         	12581214	         9.304 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-18         	12057834	         9.252 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-18         	12558535	        10.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-18         	11143281	        10.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-18         	11941423	        10.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule024-18         	10740307	         9.681 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-18         	 9572038	        12.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-18         	11721381	         8.734 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-18         	10822592	         9.862 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-18         	13021620	         9.090 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule025-18         	13914924	        10.53 ns/op	       0 B/op	       0 allocs/op
