goos: darwin
goarch: arm64
pkg: github.com/taichimaeda/cel-go/cel
cpu: Apple M4 Max
BenchmarkJit_Interpreter/rule022-16         	 2718278	        43.30 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-16         	 2755975	        43.99 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-16         	 2801695	        43.28 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-16         	 2815975	        43.22 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-16         	 2718085	        47.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-16         	 2685386	        43.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-16         	 2781162	        43.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-16         	 2785782	        43.89 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-16         	 2692640	        43.96 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-16         	 2680443	        44.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-16         	 2717198	        46.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-16         	 2717934	        44.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-16         	 2661218	        44.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-16         	 2688537	        45.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-16         	 2658062	        44.46 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-16         	 2710460	        44.31 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-16         	 2669407	        44.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-16         	 2722682	        44.01 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-16         	 2722173	        43.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-16         	 2669602	        45.31 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-16         	 2748642	        44.84 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-16         	 2735593	        44.37 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-16         	 2616205	        45.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-16         	 2703032	        44.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-16         	 2310021	        46.25 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-16         	 2688535	        44.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-16         	 2649778	        44.06 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-16         	 2709529	        43.78 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-16         	 2735876	        45.20 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-16         	 2708973	        44.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-16         	 2697679	        45.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-16         	 2656636	        45.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-16         	 2688716	        44.25 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-16         	 2764358	        44.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-16         	 2683100	        44.56 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-16         	 2718940	        44.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-16         	 2689443	        44.00 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-16         	 2743389	        43.84 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-16         	 2598814	        45.88 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-16         	 2630092	        45.88 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-16         	 2602004	        45.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-16         	 2607459	        45.88 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-16         	 2639815	        45.71 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-16         	 2665118	        46.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-16         	 2653528	        45.37 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-16         	 2626413	        45.30 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-16         	 2756961	        43.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-16         	 2750636	        44.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule028-16         	 2697146	        43.83 ns/op	      16 B/op	       1 allocs/op
