goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Interpreter/rule022-18         	 1720431	        66.06 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-18         	 1834724	        70.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-18         	 1806813	        63.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-18         	 1897216	        63.64 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-18         	 1665709	        71.78 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-18         	 1823265	        65.78 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-18         	 1750472	        63.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-18         	 1880452	        71.07 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-18         	 1755652	        65.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-18         	 1682386	        73.01 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-18         	 1721565	        66.95 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-18         	 1824829	        66.21 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-18         	 1759034	        63.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-18         	 1735266	        66.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-18         	 1754804	        69.55 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule023-18         	 1615750	        65.46 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-18         	 1697398	        67.60 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-18         	 1611427	        72.01 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-18         	 1449824	        70.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-18         	 1714982	        72.94 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-18         	 1620458	        68.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-18         	 1712842	        66.97 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-18         	 1555039	        68.13 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule024-18         	 1772890	        66.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-18         	 1766668	        67.10 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-18         	 1592541	        69.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-18         	 1800080	        68.60 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-18         	 1571280	        69.46 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-18         	 1694810	        67.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-18         	 1687413	        67.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-18         	 1695913	        75.41 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule025-18         	 1799049	        70.24 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-18         	 1696748	        68.67 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-18         	 1711800	        70.18 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-18         	 1570112	        70.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-18         	 1626309	        70.44 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-18         	 1770832	        66.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-18         	 1589869	        69.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-18         	 1765836	        69.79 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule026-18         	 1756143	        69.15 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-18         	 1713340	        72.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-18         	 1626199	        68.74 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-18         	 1707676	        70.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-18         	 1717471	        70.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-18         	 1768545	        71.78 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule027-18         	 1729958	        69.44 ns/op	      16 B/op	       1 allocs/op
